S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,
1,"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.",2TIMOTHY 1:7,2TIMOTHY 2:3,2TIMOTHY 2:4,2TIMOTHY 2:15,1,
2,"Thou therefore endure hardness, as a good soldier of Jesus Christ.",2TIMOTHY 1:7,2TIMOTHY 2:3,2TIMOTHY 2:4,2TIMOTHY 2:15,2,
3,No man that warreth entangleth himself with the affairs of this life; that he may please him who hath chosen him to be a soldier.,2TIMOTHY 1:7,2TIMOTHY 2:3,2TIMOTHY 2:4,2TIMOTHY 2:15,3,
4,"Study to shew thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth.",2TIMOTHY 1:7,2TIMOTHY 2:3,2TIMOTHY 2:4,2TIMOTHY 2:15,4,
5,But shun profane and vain babblings: for they will increase unto more ungodliness.,2TIMOTHY 2:16,2TIMOTHY 2:19,2TIMOTHY 2:21,2TIMOTHY 2:22,1,
6,"Nevertheless the foundation of God standeth sure, having this seal, The Lord knoweth them that are his. And let every one that nameth the name of Christ depart from iniquity.",2TIMOTHY 2:19,2TIMOTHY 2:21,2TIMOTHY 2:22,2TIMOTHY 2:23,1,
7,"If a man therefore purge himself from these, he shall be a vessel unto honour, sanctified, and meet for the master's use, and prepared unto every good work.",2TIMOTHY 2:19,2TIMOTHY 2:21,2TIMOTHY 2:22,2TIMOTHY 2:23,2,
8,"Flee also youthful lusts: but follow righteousness, faith, charity, peace, with them that call on the Lord out of a pure heart.",2TIMOTHY 2:19,2TIMOTHY 2:21,2TIMOTHY 2:22,2TIMOTHY 2:23,3,
9,But shun profane and vain babblings: for they will increase unto more ungodliness.,2TIMOTHY 2:19,2TIMOTHY 2:21,2TIMOTHY 2:22,2TIMOTHY 2:23,4,
10,This know also that in the last days perilous times shall come.,2TIMOTHY 3:1,2TIMOTHY 3:12,2TIMOTHY 3:13,2TIMOTHY 3:16,1,
11,"Yea, and all that will live Godly in Christ Jesus shall suffer persecution.",2TIMOTHY 3:1,2TIMOTHY 3:12,2TIMOTHY 3:13,2TIMOTHY 3:16,2,
12,"But evil men and seducers shall wax worse and worse, deceiving, and being deceived.",2TIMOTHY 3:1,2TIMOTHY 3:12,2TIMOTHY 3:13,2TIMOTHY 3:16,3,
13,"All scripture is given by inspiration of God, and is profitable for doctrine, for reproof, for correction, for instruction in righteousness:",2TIMOTHY 3:16,2TIMOTHY 3:17,2TIMOTHY 3:18,2TIMOTHY 3:19,1,
14,"That the man of God may be perfect, thoroughly furnished unto all good works.",2TIMOTHY 3:16,2TIMOTHY 3:17,2TIMOTHY 3:18,2TIMOTHY 3:19,2,
15,"Preach the word; be instant in season, out of season; reprove, rebuke, exhort with all longsuffering and doctrine.",2TIMOTHY 4:2,2TIMOTHY 4:3,2TIMOTHY 4:4,2TIMOTHY 4:5,1,
16,"For the time will come when they will not endure sound doctrine; but after their own lusts shall they heap to themselves teachers, having itching ears;",2TIMOTHY 4:2,2TIMOTHY 4:3,2TIMOTHY 4:4,2TIMOTHY 4:5,2,
17,"But watch thou in all things endure afflictions, do the work of an evangelist, make full proof of thy ministry.",2TIMOTHY 4:2,2TIMOTHY 4:3,2TIMOTHY 4:4,2TIMOTHY 4:5,4,
18,"I have fought a good fight, I have finished my course, I have kept the faith:",2TIMOTHY 4:5,2TIMOTHY 4:6,2TIMOTHY 4:7,2TIMOTHY 4:18,3,
19,"And the Lord shall deliver me from every evil work, and will preserve me unto his heavenly kingdom: to whom be glory for ever and ever. Amen.",2TIMOTHY 4:5,2TIMOTHY 4:6,2TIMOTHY 4:7,2TIMOTHY 4:18,4,