S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,,,
1,"That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;",COLOSSIANS 1:10,COLOSSIANS 1:13,COLOSSIANS 1:14,COLOSSIANS 1:15,1,,,,
2,"Who hath delivered us from the power of darkness, and hath translated us into the kingdom of his dear Son:",COLOSSIANS 1:10,COLOSSIANS 1:13,COLOSSIANS 1:14,COLOSSIANS 1:15,2,,,,Col1:16
3,"In whom we have redemption through his blood, even the forgiveness of sins.",COLOSSIANS 1:10,COLOSSIANS 1:13,COLOSSIANS 1:14,COLOSSIANS 1:15,3,,,,Col2:8
4,"Who is the image of the invisible God, the firstbon of every creature:",COLOSSIANS 1:10,COLOSSIANS 1:13,COLOSSIANS 1:14,COLOSSIANS 1:15,4,,,,Col2:10
5,"For by him were all things created, that are in heaven, and that are in earth, visible and invisible, whether they be thrones, or dominions, or principalities, or powers: all things were created by him, and for him:",COLOSSIANS 1:15,COLOSSIANS 1:16,COLOSSIANS 1:17,COLOSSIANS 1:27,2,,,,Col2:14
6,"And he is before all things, and by him all things consist.",COLOSSIANS 1:15,COLOSSIANS 1:16,COLOSSIANS 1:17,COLOSSIANS 1:27,3,,,,Col2:15
7,"To whom God would make known what is the riches of the glory of this mystery among the Gentiles; which is Christ in you, the hope of glory:",COLOSSIANS 1:15,COLOSSIANS 1:16,COLOSSIANS 1:17,COLOSSIANS 1:27,4,,,,Col3:2
8,"As ye have therefore received Christ Jesus the Lord, so walk ye in him:",COLOSSIANS 2:6,COLOSSIANS 2:8,COLOSSIANS 2:9,COLOSSIANS 2:10,1,,,,Col3:3
9,"Beware lest any man spoil you through philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ.",COLOSSIANS 2:6,COLOSSIANS 2:8,COLOSSIANS 2:9,COLOSSIANS 2:10,2,,,,Col3:14
10,For in him dwelleth all the fulness of the God head bodily..,COLOSSIANS 2:6,COLOSSIANS 2:8,COLOSSIANS 2:9,COLOSSIANS 2:10,3,,,,Col3:16
11,"And ye are complete in him, which is the head of all principality and power:",COLOSSIANS 2:6,COLOSSIANS 2:8,COLOSSIANS 2:9,COLOSSIANS 2:10,4,,,,Col3:17
12,"And you, being dead in your sins and the uncircumcision of your flesh, hath he quickened together with him, having forgiven you all trespasses;",COLOSSIANS 2:10,COLOSSIANS 2:13,COLOSSIANS 2:14,COLOSSIANS 2:15,2,,,,Col3:20
13,"Blotting out the handwriting of ordinances that was against us, which was contrary to us, and took it out of the way, nailing it to his cross;",COLOSSIANS 2:10,COLOSSIANS 2:13,COLOSSIANS 2:14,COLOSSIANS 2:15,3,,,,Col3:23
14,"And having spoiled principalities and powers, he made a shew of them openly, triumphing over them in it.",COLOSSIANS 2:10,COLOSSIANS 2:13,COLOSSIANS 2:14,COLOSSIANS 2:15,4,,,,Col4:5
15,"Let no man therefore judge you in meat, or in drink, or in respect of an holyday, or of the new moon, or of the sabbath says:",COLOSSIANS 2:16,COLOSSIANS 3:1,COLOSSIANS 3:2,COLOSSIANS 3:3,1,,,,Col4:6
16,"If ye be then be risen with Christ, seek those things which are above, where Christ sitteth on the right hand of God.",COLOSSIANS 3:1,COLOSSIANS 3:2,COLOSSIANS 3:3,COLOSSIANS 3:5,1,,,,
17,"Set your affection on things above, not on things on the earth.",COLOSSIANS 3:1,COLOSSIANS 3:2,COLOSSIANS 3:3,COLOSSIANS 3:5,2,,,,
18,"For ye are dead, and your life is hid with Christ in God.",COLOSSIANS 3:1,COLOSSIANS 3:2,COLOSSIANS 3:3,COLOSSIANS 3:5,3,,,,
19,"Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry.",COLOSSIANS 3:1,COLOSSIANS 3:2,COLOSSIANS 3:3,COLOSSIANS 3:5,4,,,,
20,"But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.",COLOSSIANS 3:5,COLOSSIANS 3:8,COLOSSIANS 3:9,COLOSSIANS 3:10,2,,,,
21,"Lie not one to another, seeing that ye have put off the old man with his deeds;",COLOSSIANS 3:5,COLOSSIANS 3:8,COLOSSIANS 3:9,COLOSSIANS 3:10,3,,,,
22,"And have put on the new man, which is renewed in knowledge after the image of him that created him:",COLOSSIANS 3:5,COLOSSIANS 3:8,COLOSSIANS 3:9,COLOSSIANS 3:10,4,,,,
23,"Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering;",COLOSSIANS 3:12,COLOSSIANS 3:14,COLOSSIANS 3:16,COLOSSIANS 3:17,1,,,,
24,"And above all these things put on charity, which is the bond of perfectness.",COLOSSIANS 3:14,COLOSSIANS 3:15,COLOSSIANS 3:16,COLOSSIANS 3:20,1,,,,
25,"And let the peace of God rule in your hearts, to the which also ye are called in one body; and be ye thankful.",COLOSSIANS 3:14,COLOSSIANS 3:15,COLOSSIANS 3:16,COLOSSIANS 3:20,2,,,,
26,"Let the word of Christ dwell in you richly in all wisdom; teaching and admonishing one another in psalms and hymns and spiritual songs, singing with grace in your hearts to the Lord.",COLOSSIANS 3:14,COLOSSIANS 3:15,COLOSSIANS 3:16,COLOSSIANS 3:20,3,,,,
27,"And whatsoever ye do in word or deed, do all in the name of the Lord Jesus, giving thanks to God and the Father by him.",COLOSSIANS 3:14,COLOSSIANS 3:15,COLOSSIANS 3:16,COLOSSIANS 3:17,4,,,,
28,"Children, obey your parents in all things: for this is well pleasing unto the Lord.",COLOSSIANS 3:15,COLOSSIANS 3:16,COLOSSIANS 3:17,COLOSSIANS 3:20,4,,,,
29,"Fathers, provoke not your children to anger, lest they be discouraged.",COLOSSIANS 3:20,COLOSSIANS 3:21,COLOSSIANS 3:23,COLOSSIANS 3:25,2,,,,
30,"And whatsoever ye do, do it heartily, as to the Lord, and not unto men;",COLOSSIANS 3:20,COLOSSIANS 3:21,COLOSSIANS 3:23,COLOSSIANS 3:25,3,,,,
31,But he that doeth wrong shall receive for the wrong which he hath done: and there is no respect of persons.,COLOSSIANS 3:20,COLOSSIANS 3:21,COLOSSIANS 3:23,COLOSSIANS 3:25,4,,,,
32,"Continue in prayer, and watch in the same with thanksgiving.",COLOSSIANS 4:2,COLOSSIANS 4:5,COLOSSIANS 4:6,COLOSSIANS 4:7,1,,,,
33,"Walk in wisdom toward them that are without, redeeming the time.",COLOSSIANS 4:2,COLOSSIANS 4:5,COLOSSIANS 4:6,COLOSSIANS 4:7,2,,,,
34,"Let your speech be alway with grace, seasoned with salt, that ye may know how ye ought to answer every man.",COLOSSIANS 4:2,COLOSSIANS 4:5,COLOSSIANS 4:6,COLOSSIANS 4:7,3,,,,