S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"For the Lord thy God is a consuming fire, even a jealous God.",DEUTERONOMY 3:23,DEUTERONOMY 3:24,DEUTERONOMY 4:23,DEUTERONOMY 4:24,4
2,"But thou shalt remember the Lord thy God: for it is he that giveth thee power to get wealth, that he may establish his covenant which he sware unto thy fathers, as it is this day.",DEUTERONOMY 7:24,DEUTERONOMY 8:18,DEUTERONOMY 8:28,DEUTERONOMY 10:8,2
3,"For the Lord thy God blesseth thee, as he promised thee: and thou shalt lend unto many nations, but thou shalt not borrow; and thou shalt reign over many nations, but they shall not reign over thee.",DEUTERONOMY 8:18,DEUTERONOMY 15:6,DEUTERONOMY 18:18,DEUTERONOMY 30:19,2
4,"The woman shall not wear that which pertaineth unto a man, neither shall a man put on a woman's garment: for all that do so are abomination unto the Lord thy God.",DEUTERONOMY 15:7,DEUTERONOMY 20:5,DEUTERONOMY 22:5,DEUTERONOMY 23:25,3
5,"The Lord shall cause thine enemies that rise up against thee to be smitten before thy face: they shall come out against thee one way, and flee before thee seven ways.",DEUTERONOMY 23:25,DEUTERONOMY 28:7,DEUTERONOMY 30:14,DEUTERONOMY 35:25,2
6,"Blessed shalt thou be when thou comest in, and blessed shalt thou be when thou goest out.",DEUTERONOMY 28:4,DEUTERONOMY 28:5,DEUTERONOMY 28:6,DEUTERONOMY 28:7,3
7,And all people of the earth shall see that thou art called by the name of the Lord; and they shall be afraid of thee.,DEUTERONOMY 28:5,DEUTERONOMY 28:10,DEUTERONOMY 28:15,DEUTERONOMY 28:22,2
8,"The Lord shall open unto thee his good treasure, the heaven to give the rain unto thy land in his season, and to bless all the work of thine hand: and thou shalt lend unto many nations, and thou shalt not borrow.",DEUTERONOMY 28:7,DEUTERONOMY 28:12,DEUTERONOMY 28:13,DEUTERONOMY 28:18,2
9,"And the Lord shall make thee the head, and not the tail; and thou shalt be above only, and thou shalt not be beneath; if that thou hearken unto the commandments of the Lord thy God, which I command thee this day, to observe and to do them:",DEUTERONOMY 28:7,DEUTERONOMY 28:12,DEUTERONOMY 28:13,DEUTERONOMY 28:18,3
10,"The secret things belong unto the Lord our God: but those things which are revealed belong unto us and to our children for ever, that we may do all the words of this law.",DEUTERONOMY 23:29,DEUTERONOMY 29:29,DEUTERONOMY 30:29,DEUTERONOMY 31:29,2
11,"I call heaven and earth to record this day against you, that I have set before you life and death, blessing and cursing: therefore choose life, that both thou and thy seed may live:",DEUTERONOMY 30:19,DEUTERONOMY 31:19,DEUTERONOMY 32:19,DEUTERONOMY 33:19,1
12,"Thy shoes shall be iron and brass; and as thy days, so shall thy strength be.",DEUTERONOMY 33:25,DEUTERONOMY 33:26,DEUTERONOMY 33:27,DEUTERONOMY 33:28,1
13,"There is none like unto the God of Jeshurun, who rideth upon the heaven in thy help, and in his excellency on the sky.",DEUTERONOMY 33:25,DEUTERONOMY 33:26,DEUTERONOMY 33:27,DEUTERONOMY 33:28,2
14,"The eternal God is thy refuge, and underneath are the everlasting arms: and he shall thrust out the enemy from before thee; and shall say, Destroy them.",DEUTERONOMY 33:25,DEUTERONOMY 33:26,DEUTERONOMY 33:27,DEUTERONOMY 33:28,3