S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,,,,,
91,"Thus saith the LORD, In an acceptable time have I heard thee, and in a day of salvation have I helped thee: and I will preserve thee, and give thee for a covenant of the people, to establish the earth, to cause to inherit the desolate heritages;",ISAIAH 48:18,ISAIAH 48:22,ISAIAH 49:8,ISAIAH 49:15,3,,,,,,
92,"Can a woman forget her sucking child, that she should not have compassion on the son of her womb? yea, they may forget, yet will I not forget thee.",ISAIAH 48:18,ISAIAH 48:22,ISAIAH 49:8,ISAIAH 49:15,4,,,,,,
93,"And kings shall be thy nursing fathers, and their queens thy nursing mothers: they shall bow down to thee with their face toward the earth, and lick up the dust of thy feet; and thou shalt know that I am the LORD: for they shall not be ashamed that wait for me.",ISAIAH 49:23,ISAIAH 49:24,ISAIAH 49:25,ISAIAH 49:26,1,,,,,,
94,"Shall the prey be taken from the mighty, or the lawful captive delivered?",ISAIAH 49:23,ISAIAH 49:24,ISAIAH 49:25,ISAIAH 49:26,2,,,,,,
95,"But thus saith the LORD, Even the captives of the mighty shall be taken away, and the prey of the terrible shall be delivered: for I will contend with him that contendeth with thee, and I will save thy children.",ISAIAH 49:23,ISAIAH 49:24,ISAIAH 49:25,ISAIAH 49:26,3,,,,,,
96,"And I will feed them that oppress thee with their own flesh; and they shall be drunken with their own blood, as with sweet wine: and all flesh shall know that I the LORD am thy Saviour and thy Redeemer, the mighty One of Jacob.",ISAIAH 49:23,ISAIAH 49:24,ISAIAH 49:25,ISAIAH 49:26,4,,,,,,
97,"The Lord GOD hath given me the tongue of the learned, that I should know how to speak a word in season to him that is weary: he wakeneth morning by morning, he wakeneth mine ear to hear as the learned.",ISAIAH 50:4,ISAIAH 50:5,ISAIAH 50:7,ISAIAH 50:8,1,,,,,,
98,"The Lord GOD hath opened mine ear, and I was not rebellious, neither turned away back.",ISAIAH 50:4,ISAIAH 50:5,ISAIAH 50:7,ISAIAH 50:8,2,,,,,,
99,"For the Lord GOD will help me; therefore shall I not be confounded: therefore have I set my face like a flint, and I know that I shall not be ashamed.",ISAIAH 50:4,ISAIAH 50:5,ISAIAH 50:7,ISAIAH 50:8,3,,,,,,
100,He is near that justifieth me; who will contend with me? let us stand together: who is mine adversary? let him come near to me.,ISAIAH 50:4,ISAIAH 50:5,ISAIAH 50:7,ISAIAH 50:8,4,,,,,,
101,"Behold, the Lord GOD will help me; who is he that shall condemn me? lo, they all shall wax old as a garment; the moth shall eat them up.",ISAIAH 50:9,ISAIAH 51:12,ISAIAH 52:7,ISAIAH 52:11,1,,,,,,
102,"I, even I, am he that comforteth you: who art thou, that thou shouldest be afraid of a man that shall die, and of the son of man which shall be made as grass;",ISAIAH 50:9,ISAIAH 51:12,ISAIAH 52:7,ISAIAH 52:11,2,,,,,,
103,"How beautiful upon the mountains are the feet of him that bringeth good tidings, that publisheth peace; that bringeth good tidings of good, that publisheth salvation; that saith unto Zion, Thy God reigneth!",ISAIAH 50:9,ISAIAH 51:12,ISAIAH 52:7,ISAIAH 52:11,3,,,,,,
104,"Depart ye, depart ye, go ye out from thence, touch no unclean thing; go ye out of the midst of her; be ye clean, that bear the vessels of the LORD.",ISAIAH 50:9,ISAIAH 51:12,ISAIAH 52:7,ISAIAH 52:11,4,,,,,,
105,"For ye shall not go out with haste, nor go by flight: for the LORD will go before you; and the God of Israel will be your rereward.",ISAIAH 52:12,ISAIAH 53:1,ISAIAH 53:5,ISAIAH 53:6,1,,,,,,
106,Who hath believed our report? and to whom is the arm of the LORD revealed?,ISAIAH 52:12,ISAIAH 53:1,ISAIAH 53:5,ISAIAH 53:6,2,,,,,,
107,"But he was wounded for our transgressions, he was bruised for our iniquities: the chastisement of our peace was upon him; and with his stripes we are healed.",ISAIAH 52:12,ISAIAH 53:1,ISAIAH 53:5,ISAIAH 53:6,3,,,,,,
108,All we like sheep have gone astray; we have turned every one to his own way; and the LORD hath laid on him the iniquity of us all.,ISAIAH 52:12,ISAIAH 53:1,ISAIAH 53:5,ISAIAH 53:6,4,,,,,,
109,"He was oppressed, and he was afflicted, yet he opened not his mouth: he is brought as a lamb to the slaughter, and as a sheep before her shearers is dumb, so he openeth not his mouth.",ISAIAH 53:7,ISAIAH 54:1,ISAIAH 54:13,ISAIAH 54:14,1,,,,,,
110,"Sing, O barren, thou that didst not bear; break forth into singing, and cry aloud, thou that didst not travail with child: for more are the children of the desolate than the children of the married wife, saith the LORD.",ISAIAH 53:7,ISAIAH 54:1,ISAIAH 54:13,ISAIAH 54:14,2,,,,,,
111,And all thy children shall be taught of the LORD; and great shall be the peace of thy children.,ISAIAH 53:7,ISAIAH 54:1,ISAIAH 54:13,ISAIAH 54:14,3,,,,,,
112,In righteousness shalt thou be established: thou shalt be far from oppression; for thou shalt not fear: and from terror; for it shall not come near thee.,ISAIAH 53:7,ISAIAH 54:1,ISAIAH 54:13,ISAIAH 54:14,4,,,,,,
113,"Behold, they shall surely gather together, but not by me: whosoever shall gather together against thee shall fall for thy sake.",ISAIAH 54:15,ISAIAH 54:16,ISAIAH 54:17,ISAIAH 55:1,1,,,,,,
114,"Behold, I have created the smith that bloweth the coals in the fire, and that bringeth forth an instrument for his work; and I have created the waster to destroy.",ISAIAH 54:15,ISAIAH 54:16,ISAIAH 54:17,ISAIAH 55:1,2,,,,,,
115,"No weapon that is formed against thee shall prosper; and every tongue that shall rise against thee in judgment thou shalt condemn. This is the heritage of the servants of the LORD, and their righteousness is of me, saith the LORD.",ISAIAH 54:15,ISAIAH 54:16,ISAIAH 54:17,ISAIAH 55:1,3,,,,,,
116,"Ho, every one that thirsteth, come ye to the waters, and he that hath no money; come ye, buy, and eat; yea, come, buy wine and milk without money and without price.",ISAIAH 54:15,ISAIAH 54:16,ISAIAH 54:17,ISAIAH 55:1,4,,,,,,
117,"Incline your ear, and come unto me: hear, and your soul shall live; and I will make an everlasting covenant with you, even the sure mercies of David.",ISAIAH 55:3,ISAIAH 55:5,ISAIAH 55:6,ISAIAH 55:7,1,,,,,,
118,"Behold, thou shalt call a nation that thou knowest not, and nations that knew not thee shall run unto thee because of the LORD thy God, and for the Holy One of Israel; for he hath glorified thee.",ISAIAH 55:3,ISAIAH 55:5,ISAIAH 55:6,ISAIAH 55:7,2,,,,,,
119,"Seek ye the LORD while he may be found, call ye upon him while he is near:",ISAIAH 55:3,ISAIAH 55:5,ISAIAH 55:6,ISAIAH 55:7,3,,,,,,
120,"Let the wicked forsake his way, and the unrighteous man his thoughts: and let him return unto the LORD, and he will have mercy upon him; and to our God, for he will abundantly pardon.",ISAIAH 55:3,ISAIAH 55:5,ISAIAH 55:6,ISAIAH 55:7,4,,,,,,
121,"For my thoughts are not your thoughts, neither are your ways my ways, saith the LORD.",ISAIAH 55:8,ISAIAH 55:9,ISAIAH 55:10,ISAIAH 55:11,1,,,,,,
122,"For as the heavens are higher than the earth, so are my ways higher than your ways, and my thoughts than your thoughts.",ISAIAH 55:8,ISAIAH 55:9,ISAIAH 55:10,ISAIAH 55:11,2,,,,,,
123," For as the rain cometh down, and the snow from heaven, and returneth not thither, but watereth the earth, and maketh it bring forth and bud, that it may give seed to the sower, and bread to the eater:",ISAIAH 55:8,ISAIAH 55:9,ISAIAH 55:10,ISAIAH 55:11,3,,,,,,
124," So shall my word be that goeth forth out of my mouth: it shall not return unto me void, but it shall accomplish that which I please, and it shall prosper in the thing whereto I sent it.",ISAIAH 55:8,ISAIAH 55:9,ISAIAH 55:10,ISAIAH 55:11,4,,,,,,
125," For ye shall go out with joy, and be led forth with peace: the mountains and the hills shall break forth before you into singing, and all the trees of the field shall clap their hands.",ISAIAH 55:12,ISAIAH 55:13,ISAIAH 56:7,ISAIAH 57:1,1,,,,,,
126," Instead of the thorn shall come up the fir tree, and instead of the brier shall come up the myrtle tree: and it shall be to the LORD for a name, for an everlasting sign that shall not be cut off.",ISAIAH 55:12,ISAIAH 55:13,ISAIAH 56:7,ISAIAH 57:1,2,,,,,,
127,"Even them will I bring to my holy mountain, and make them joyful in my house of prayer: their burnt offerings and their sacrifices shall be accepted upon mine altar; for mine house shall be called an house of prayer for all people.",ISAIAH 55:12,ISAIAH 55:13,ISAIAH 56:7,ISAIAH 57:1,3,,,,,,
128,"The righteous perisheth, and no man layeth it to heart: and merciful men are taken away, none considering that the righteous is taken away from the evil to come.",ISAIAH 55:12,ISAIAH 55:13,ISAIAH 56:7,ISAIAH 57:1,4,,,,,,
129,"For thus saith the high and lofty One that inhabiteth eternity, whose name is Holy; I dwell in the high and holy place, with him also that is of a contrite and humble spirit, to revive the spirit of the humble, and to revive the heart of the contrite ones.",ISAIAH 57:15,ISAIAH 57:21,ISAIAH 58:5,ISAIAH 58:6,1,,,,,,
130,"There is no peace, saith my God, to the wicked.",ISAIAH 57:15,ISAIAH 57:21,ISAIAH 58:5,ISAIAH 58:6,2,,,,,,
131,"Is it such a fast that I have chosen? a day for a man to afflict his soul? is it to bow down his head as a bulrush, and to spread sackcloth and ashes under him? wilt thou call this a fast, and an acceptable day to the LORD?",ISAIAH 57:15,ISAIAH 57:21,ISAIAH 58:5,ISAIAH 58:6,3,,,,,,
132,"Is not this the fast that I have chosen? to loose the bands of wickedness, to undo the heavy burdens, and to let the oppressed go free, and that ye break every yoke?",ISAIAH 57:15,ISAIAH 57:21,ISAIAH 58:5,ISAIAH 58:6,4,,,,,,
133,"Is it not to deal thy bread to the hungry, and that thou bring the poor that are cast out to thy house? when thou seest the naked, that thou cover him; and that thou hide not thyself from thine own flesh?",ISAIAH 58:7,ISAIAH 58:8,ISAIAH 58:11,ISAIAH 58:12,1,,,,,,
134,"Then shall thy light break forth as the morning, and thine health shall spring forth speedily: and thy righteousness shall go before thee; the glory of the LORD shall be thy rereward.",ISAIAH 58:7,ISAIAH 58:8,ISAIAH 58:11,ISAIAH 58:12,2,,,,,,
135,"And the LORD shall guide thee continually, and satisfy thy soul in drought, and make fat thy bones: and thou shalt be like a watered garden, and like a spring of water, whose waters fail not.",ISAIAH 58:7,ISAIAH 58:8,ISAIAH 58:11,ISAIAH 58:12,3,,,,,,
136,"And they that shall be of thee shall build the old waste places: thou shalt raise up the foundations of many generations; and thou shalt be called, The repairer of the breach, The restorer of paths to dwell in.",ISAIAH 58:7,ISAIAH 58:8,ISAIAH 58:11,ISAIAH 58:12,4,,,,,,
137,"Then shalt thou delight thyself in the LORD; and I will cause thee to ride upon the high places of the earth, and feed thee with the heritage of Jacob thy father: for the mouth of the LORD hath spoken it.",ISAIAH 58:14,ISAIAH 59:1,ISAIAH 59:2,ISAIAH 59:19,1,,,,,,
138,"Behold, the LORD's hand is not shortened, that it cannot save; neither his ear heavy, that it cannot hear:",ISAIAH 58:14,ISAIAH 59:1,ISAIAH 59:2,ISAIAH 59:19,2,,,,,,
139,"But your iniquities have separated between you and your God, and your sins have hid his face from you, that he will not hear.",ISAIAH 58:14,ISAIAH 59:1,ISAIAH 59:2,ISAIAH 59:19,3,,,,,,
140,"So shall they fear the name of the LORD from the west, and his glory from the rising of the sun. When the enemy shall come in like a flood, the Spirit of the LORD shall lift up a standard against him.",ISAIAH 58:14,ISAIAH 59:1,ISAIAH 59:2,ISAIAH 59:19,4,,,,,,
141,"Arise, shine; for thy light is come, and the glory of the LORD is risen upon thee.",ISAIAH 60:1,ISAIAH 60:2,ISAIAH 60:16,ISAIAH 60:20,1,,,,,,
142,"For, behold, the darkness shall cover the earth, and gross darkness the people: but the LORD shall arise upon thee, and his glory shall be seen upon thee.",ISAIAH 60:1,ISAIAH 60:2,ISAIAH 60:16,ISAIAH 60:20,2,,,,,,
143,"Thou shalt also suck the milk of the Gentiles, and shalt suck the breast of kings: and thou shalt know that I the LORD am thy Saviour and thy Redeemer, the mighty One of Jacob.",ISAIAH 60:1,ISAIAH 60:2,ISAIAH 60:16,ISAIAH 60:20,3,,,,,,
144,"Thy sun shall no more go down; neither shall thy moon withdraw itself: for the LORD shall be thine everlasting light, and the days of thy mourning shall be ended.",ISAIAH 60:1,ISAIAH 60:2,ISAIAH 60:16,ISAIAH 60:20,4,,,,,,
145,"A little one shall become a thousand, and a small one a strong nation: I the LORD will hasten it in his time.",ISAIAH 60:22,ISAIAH 61:1,ISAIAH 61:2,ISAIAH 61:3,1,,,,,,
146,"The Spirit of the Lord GOD is upon me; because the LORD hath anointed me to preach good tidings unto the meek; he hath sent me to bind up the brokenhearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;",ISAIAH 60:22,ISAIAH 61:1,ISAIAH 61:2,ISAIAH 61:3,2,,,,,,
147,"To proclaim the acceptable year of the LORD, and the day of vengeance of our God; to comfort all that mourn;",ISAIAH 60:22,ISAIAH 61:1,ISAIAH 61:2,ISAIAH 61:3,3,,,,,,
148,"To appoint unto them that mourn in Zion, to give unto them beauty for ashes, the oil of joy for mourning, the garment of praise for the spirit of heaviness; that they might be called trees of righteousness, the planting of the LORD, that he might be glorified.",ISAIAH 60:22,ISAIAH 61:1,ISAIAH 61:2,ISAIAH 61:3,4,,,,,,
149,"And they shall build the old wastes, they shall raise up the former desolations, and they shall repair the waste cities, the desolations of many generations.",ISAIAH 61:4,ISAIAH 61:5,ISAIAH 61:6,ISAIAH 61:7,1,,,,,,
150,"And strangers shall stand and feed your flocks, and the sons of the alien shall be your plowmen and your vinedressers.",ISAIAH 61:4,ISAIAH 61:5,ISAIAH 61:6,ISAIAH 61:7,2,,,,,,
151,"But ye shall be named the Priests of the LORD: men shall call you the Ministers of our God: ye shall eat the riches of the Gentiles, and in their glory shall ye boast yourselves.",ISAIAH 61:4,ISAIAH 61:5,ISAIAH 61:6,ISAIAH 61:7,3,,,,,,
152,For your shame ye shall have double; and for confusion they shall rejoice in their portion: therefore in their land they shall possess the double: everlasting joy shall be unto them.,ISAIAH 61:4,ISAIAH 61:5,ISAIAH 61:6,ISAIAH 61:7,4,,,,,,
153,"For I the LORD love judgment, I hate robbery for burnt offering; and I will direct their work in truth, and I will make an everlasting covenant with them.",ISAIAH 61:8,ISAIAH 61:9,ISAIAH 61:10,ISAIAH 61:11,1,,,,,,
154,"And their seed shall be known among the Gentiles, and their offspring among the people: all that see them shall acknowledge them, that they are the seed which the LORD hath blessed.",ISAIAH 61:8,ISAIAH 61:9,ISAIAH 61:10,ISAIAH 61:11,2,,,,,,
155,"I will greatly rejoice in the LORD, my soul shall be joyful in my God; for he hath clothed me with the garments of salvation, he hath covered me with the robe of righteousness, as a bridegroom decketh himself with ornaments, and as a bride adorneth herself with her jewels.",ISAIAH 61:8,ISAIAH 61:9,ISAIAH 61:10,ISAIAH 61:11,3,,,,,,
156,"For as the earth bringeth forth her bud, and as the garden causeth the things that are sown in it to spring forth; so the Lord GOD will cause righteousness and praise to spring forth before all the nations.",ISAIAH 61:8,ISAIAH 61:9,ISAIAH 61:10,ISAIAH 61:11,4,,,,,,
157,"And the Gentiles shall see thy righteousness, and all kings thy glory: and thou shalt be called by a new name, which the mouth of the LORD shall name.",ISAIAH 62:2,ISAIAH 62:3,ISAIAH 62:4,ISAIAH 62:6,1,,,,,,
158,"Thou shalt also be a crown of glory in the hand of the LORD, and a royal diadem in the hand of thy God.",ISAIAH 62:2,ISAIAH 62:3,ISAIAH 62:4,ISAIAH 62:6,2,,,,,,
159,"Thou shalt no more be termed Forsaken; neither shall thy land any more be termed Desolate: but thou shalt be called Hephzibah, and thy land Beulah: for the LORD delighteth in thee, and thy land shall be married.",ISAIAH 62:2,ISAIAH 62:3,ISAIAH 62:4,ISAIAH 62:6,3,,,,,,
160,"I have set watchmen upon thy walls, O Jerusalem, which shall never hold their peace day nor night: ye that make mention of the LORD, keep not silence,",ISAIAH 62:2,ISAIAH 62:3,ISAIAH 62:4,ISAIAH 62:6,4,,,,,,
161,"And give him no rest, till he establish, and till he make Jerusalem a praise in the earth.",ISAIAH 62:7,ISAIAH 62:12,ISAIAH 63:8,ISAIAH 64:1,1,,,,,,
162,"And they shall call them, The holy people, The redeemed of the LORD: and thou shalt be called, Sought out, A city not forsaken.",ISAIAH 62:7,ISAIAH 62:12,ISAIAH 63:8,ISAIAH 64:1,2,,,,,,
163,"For he said, Surely they are my people, children that will not lie: so he was their Saviour.",ISAIAH 62:7,ISAIAH 62:12,ISAIAH 63:8,ISAIAH 64:1,3,,,,,,
164,"Oh that thou wouldest rend the heavens, that thou wouldest come down, that the mountains might flow down at thy presence,",ISAIAH 62:7,ISAIAH 62:12,ISAIAH 63:8,ISAIAH 64:1,4,,,,,,
165,"For since the beginning of the world men have not heard, nor perceived by the ear, neither hath the eye seen, O God, beside thee, what he hath prepared for him that waiteth for him.",ISAIAH 64:4,ISAIAH 64:6,ISAIAH 64:8,ISAIAH 65:8,1,,,,,,
166,"But we are all as an unclean thing, and all our righteousnesses are as filthy rags; and we all do fade as a leaf; and our iniquities, like the wind, have taken us away.",ISAIAH 64:4,ISAIAH 64:6,ISAIAH 64:8,ISAIAH 65:8,2,,,,,,
167,"But now, O LORD, thou art our father; we are the clay, and thou our potter; and we all are the work of thy hand.",ISAIAH 64:4,ISAIAH 64:6,ISAIAH 64:8,ISAIAH 65:8,3,,,,,,
168,"There shall be no more thence an infant of days, nor an old man that hath not filled his days: for the child shall die an hundred years old; but the sinner being an hundred years old shall be accursed.",ISAIAH 64:4,ISAIAH 64:6,ISAIAH 64:8,ISAIAH 65:8,4,,,,,,
169,"And they shall build houses, and inhabit them; and they shall plant vineyards, and eat the fruit of them.",ISAIAH 65:20,ISAIAH 65:21,ISAIAH 65:22,ISAIAH 65:24,1,,,,,,
170,"They shall not build, and another inhabit; they shall not plant, and another eat: for as the days of a tree are the days of my people, and mine elect shall long enjoy the work of their hands.",ISAIAH 65:20,ISAIAH 65:21,ISAIAH 65:22,ISAIAH 65:24,2,,,,,,
171,"And it shall come to pass, that before they call, I will answer; and while they are yet speaking, I will hear.",ISAIAH 65:20,ISAIAH 65:21,ISAIAH 65:22,ISAIAH 65:24,3,,,,,,
172,"Shall I bring to the birth, and not cause to bring forth? saith the LORD: shall I cause to bring forth, and shut the womb? saith thy God.",ISAIAH 65:20,ISAIAH 65:21,ISAIAH 65:22,ISAIAH 65:24,4,,,,,,
173,"As one whom his mother comforteth, so will I comfort you; and ye shall be comforted in Jerusalem.",ISAIAH 65:24,ISAIAH 66:9,ISAIAH 66:13,ISAIAH 66:22,2,,,,,,
174,"For as the new heavens and the new earth, which I will make, shall remain before me, saith the LORD, so shall your seed and your name remain.",ISAIAH 65:24,ISAIAH 66:9,ISAIAH 66:13,ISAIAH 66:22,3,,,,,,
,,ISAIAH 65:24,ISAIAH 66:9,ISAIAH 66:13,ISAIAH 66:22,4,,,,,,