S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,,
1,"Before I formed thee in the belly I knew thee; and before thou camest forth out of thw omb I sanctified thee, and I ordained thee a prophet unto the nations.",JEREMIAH 1:5,JEREMIAH 1:8,JEREMIAH 1:10,JEREMIAH 1:19,1,,,
2,"Be not afraid of their faces: for I am with thee to deliver thee, saith the Lord.",JEREMIAH 1:5,JEREMIAH 1:8,JEREMIAH 1:10,JEREMIAH 1:19,2,,,
3,"See, I have this day set thee over nations and over the kingdoms, to root out and to pull down, and to destroy, and to throw down, to build, and to plant.",JEREMIAH 1:5,JEREMIAH 1:8,JEREMIAH 1:10,JEREMIAH 1:19,3,,,
4,"And they shall fight against thee; but they shall not prevail against thee; for I am with thee, saith the Lord, to deliver thee.",JEREMIAH 1:5,JEREMIAH 1:8,JEREMIAH 1:10,JEREMIAH 1:19,4,,,
5,"Thus saith the Lord, Stand ye in the ways, and see, and ask for the old paths, where is the good way, and walk therein, and ye shall find rest for your souls. But they said, We will not walk therein.",JEREMIAH 1:5,JEREMIAH 1:10,JEREMIAH 6:16,JEREMIAH 15:20,3,,,
6,"And I will make thee unto this people a fenced brasen wall: and they shall fight against thee but they shall not prevail against thee: for I am with thee to save thee and to deliver thee, saith the Lord.",JEREMIAH 1:10,JEREMIAH 1:19,JEREMIAH 15:20,JEREMIAH 17:7,3,,,
7,"Blessed is the man that trusteth in the Lord, and whose hope the Lord is.",JEREMIAH 1:10,JEREMIAH 1:19,JEREMIAH 15:20,JEREMIAH 17:7,4,,,
8,"The heart is deceitful above all things, and desperately wicked: who can know it?",JEREMIAH 17:7,JEREMIAH 17:8,JEREMIAH 17:9,JEREMIAH 17:10,3,,,
9,"I the Lord search the heart, I try the reigns, even to give every man according to his ways, and according to the fruit of his doings.",JEREMIAH 17:7,JEREMIAH 17:8,JEREMIAH 17:9,JEREMIAH 17:10,4,,,
10,"Let them be confounded that persecute me, but let not me be confounded: let them be diamayed, but let not me be dismayed: bring upon them the day of evil, and destroy them with double destruction.",JEREMIAH 17:7,JEREMIAH 17:9,JEREMIAH 17:10,JEREMIAH 17:18,4,,,
11,"Then I said, I will not make mention of him, nor speak any more in his name. But his word was in mine heart as a burning fire shut up in my bones, and I was weary with forbearing, and I could not stay.",JEREMIAH 20:9,JEREMIAH 20:11,JEREMIAH 29:11,JEREMIAH 29:13,1,,,
12,"But the Lord is with me as a mighty terrible one: therefore my persecutors shall stumble, and they shall not prevail: they shall be greatly ashamed; for they shall not prosper: their everlasting confusion shall neve be forgotten.",JEREMIAH 17:18,JEREMIAH 20:11,JEREMIAH 29:11,JEREMIAH 29:13,2,,,
13,"O earth, earth, earth, hear the word of the Lord.",JEREMIAH 22:29,JEREMIAH 23:29,JEREMIAH 29:11,JEREMIAH 29:13,1,,,
14,"Am I a God at hand, saith the Lord, and not a God afar off?",JEREMIAH 23:22,JEREMIAH 23:23,JEREMIAH 23:24,JEREMIAH 23:29,2,,,
15,Can any hide himself in secret places that I shall not see him? Saith the Lord. Do not I fill heaven and earth? Saith the Lord.,JEREMIAH 23:22,JEREMIAH 23:23,JEREMIAH 23:24,JEREMIAH 23:29,3,,,
16,Is not my word like as a fire? Saith the Lord; and like a hammer that breaketh the rock in pieces?,JEREMIAH 22:29,JEREMIAH 23:29,JEREMIAH 29:11,JEREMIAH 29:13,2,,,
17,"For I know the thoughts that I think toward you saith the Lord, thoughts of peace, and not of evil, to give you an expected end.",JEREMIAH 22:29,JEREMIAH 23:29,JEREMIAH 29:11,JEREMIAH 29:13,3,,,
18,"And ye shall seek me, and find me, when ye shall search for me with all your heart.",JEREMIAH 22:29,JEREMIAH 23:29,JEREMIAH 29:11,JEREMIAH 29:13,4,,,
19,"Ah Lord God! Behold, thou hast made the heaven and the earth by thy great power and stretched out arm, and there is nothing too hard for thee:",JEREMIAH 32:17,JEREMIAH 32:27,JEREMIAH 33:3,JEREMIAH 37:7,1,,,
20,"Behold, I am the Lord, the God of all flesh: is there anything too hard for me?",JEREMIAH 32:17,JEREMIAH 32:27,JEREMIAH 33:3,JEREMIAH 37:7,2,,,
21,"Call unto me, and I will answer thee, and shew thee great and mighty things, which thou knowest not.",JEREMIAH 32:17,JEREMIAH 32:27,JEREMIAH 33:3,JEREMIAH 37:7,3,,,
,,,,,,,,,